filename;width;height;class;xmin;ymin;xmax;ymax
Seoul_2018_3_15-3.png;345;354;HR_building;0;256;15;331
Seoul_2018_3_15-3.png;345;354;HR_building;0;228;84;303
Seoul_2018_3_15-3.png;345;354;HR_building;45;201;139;292
Seoul_2018_3_15-3.png;345;354;HR_building;100;196;190;283
Seoul_2018_3_15-3.png;345;354;HR_building;190;227;267;324
Seoul_2018_3_15-3.png;345;354;HR_building;154;171;237;242
Seoul_2018_3_15-3.png;345;354;HR_building;240;189;292;243
Seoul_2018_3_15-3.png;345;354;HR_building;259;207;340;312
Seoul_2018_3_15-3.png;345;354;HR_building;257;288;335;353
Seoul_2018_3_15-3.png;345;354;HR_building;0;131;67;199
Seoul_2018_3_15-3.png;345;354;HR_building;47;128;111;203
Seoul_2018_3_15-3.png;345;354;HR_building;110;128;189;189
Seoul_2018_3_15-3.png;345;354;HR_building;206;132;284;193
Seoul_2018_3_15-3.png;345;354;HR_building;292;137;335;203
Seoul_2018_3_15-3.png;345;354;HR_building;244;110;307;175
Seoul_2018_3_15-3.png;345;354;HR_building;178;99;234;147
Seoul_2018_3_15-3.png;345;354;HR_building;265;68;326;112
Seoul_2018_3_15-3.png;345;354;HR_building;225;65;268;95
