filename;width;height;class;xmin;ymin;xmax;ymax
Seoul_2015_1_10-14.png;640;640;HR_building;42;456;116;506
Seoul_2015_1_10-14.png;640;640;HR_building;104;484;167;528
Seoul_2015_1_10-14.png;640;640;HR_building;234;448;290;491
Seoul_2015_1_10-14.png;640;640;HR_building;191;501;239;533
Seoul_2015_1_10-14.png;640;640;HR_building;449;123;520;169
Seoul_2015_1_10-14.png;640;640;HR_building;474;90;550;134
Seoul_2015_1_10-14.png;640;640;HR_building;502;58;583;103
Seoul_2015_1_10-14.png;640;640;HR_building;570;0;629;35
Seoul_2015_1_10-14.png;640;640;HR_building;604;13;640;58
Seoul_2015_1_10-14.png;640;640;HR_building;611;108;640;170
Seoul_2015_1_10-14.png;640;640;HR_building;609;177;640;245
Seoul_2015_1_10-14.png;640;640;HR_building;299;397;356;442
Seoul_2015_1_10-14.png;640;640;HR_building;367;388;419;433
Seoul_2015_1_10-14.png;640;640;HR_building;420;375;473;403
Seoul_2015_1_10-14.png;640;640;HR_building;472;377;515;410
Seoul_2015_1_10-14.png;640;640;HR_building;512;363;563;391
Seoul_2015_1_10-14.png;640;640;HR_building;550;369;588;418
Seoul_2015_1_10-14.png;640;640;HR_building;587;345;640;386
Seoul_2015_1_10-14.png;640;640;HR_building;591;404;640;435
Seoul_2015_1_10-14.png;640;640;HR_building;640;369;640;410
Seoul_2015_1_10-14.png;640;640;HR_building;421;427;487;458
Seoul_2015_1_10-14.png;640;640;HR_building;487;439;571;468
Seoul_2015_1_10-14.png;640;640;HR_building;572;448;640;488
Seoul_2015_1_10-14.png;640;640;HR_building;636;583;640;622
Seoul_2015_1_10-14.png;640;640;HR_building;439;596;501;640
Seoul_2015_1_10-14.png;640;640;HR_building;510;625;574;640
Seoul_2015_1_10-14.png;640;640;HR_building;611;634;640;640
Seoul_2015_1_10-14.png;640;640;HR_building;348;553;436;596
Seoul_2015_1_10-14.png;640;640;HR_building;258;545;340;581
Seoul_2015_1_10-14.png;640;640;HR_building;276;470;340;505
Seoul_2015_1_10-14.png;640;640;HR_building;380;498;455;535
Seoul_2015_1_10-14.png;640;640;HR_building;318;492;369;524
Seoul_2015_1_10-14.png;640;640;HR_building;0;209;51;269
Seoul_2015_1_10-14.png;640;640;HR_building;13;271;53;301
Seoul_2015_1_10-14.png;640;640;HR_building;39;249;77;277
Seoul_2015_1_10-14.png;640;640;HR_building;180;124;248;172
