filename;width;height;class;xmin;ymin;xmax;ymax
Sejong_2013_2_2-3_32;640;640;HR_building;280;63;301;80
Sejong_2013_2_2-3_32;640;640;HR_building;300;57;321;75
Sejong_2013_2_2-3_32;640;640;HR_building;283;86;301;102
Sejong_2013_2_2-3_32;640;640;HR_building;300;88;320;101
Sejong_2013_2_2-3_32;640;640;HR_building;281;113;299;130
Sejong_2013_2_2-3_32;640;640;HR_building;298;118;315;133
Sejong_2013_2_2-3_32;640;640;HR_building;329;125;349;146
Sejong_2013_2_2-3_32;640;640;HR_building;329;105;348;121
Sejong_2013_2_2-3_32;640;640;HR_building;327;81;348;98
Sejong_2013_2_2-3_32;640;640;HR_building;331;62;350;77
Sejong_2013_2_2-3_32;640;640;HR_building;467;0;483;17
Sejong_2013_2_2-3_32;640;640;HR_building;451;19;472;35
Sejong_2013_2_2-3_32;640;640;HR_building;460;47;480;64
Sejong_2013_2_2-3_32;640;640;HR_building;481;118;500;134
Sejong_2013_2_2-3_32;640;640;HR_building;506;122;521;135
Sejong_2013_2_2-3_32;640;640;HR_building;506;99;520;110
Sejong_2013_2_2-3_32;640;640;HR_building;493;100;505;111
Sejong_2013_2_2-3_32;640;640;HR_building;529;75;561;94
Sejong_2013_2_2-3_32;640;640;HR_building;532;56;561;71
Sejong_2013_2_2-3_32;640;640;HR_building;563;55;584;74
Sejong_2013_2_2-3_32;640;640;HR_building;538;27;556;47
Sejong_2013_2_2-3_32;640;640;HR_building;554;27;575;47
Sejong_2013_2_2-3_32;640;640;HR_building;530;102;557;117
Sejong_2013_2_2-3_32;640;640;HR_building;559;105;575;124
Sejong_2013_2_2-3_32;640;640;HR_building;572;77;591;96
Sejong_2013_2_2-3_32;640;640;HR_building;489;159;526;188
Sejong_2013_2_2-3_32;640;640;HR_building;533;127;557;146
Sejong_2013_2_2-3_32;640;640;HR_building;532;155;559;167
Sejong_2013_2_2-3_32;640;640;HR_building;535;174;554;189
Sejong_2013_2_2-3_32;640;640;HR_building;556;169;575;181
Sejong_2013_2_2-3_32;640;640;HR_building;490;203;529;243
Sejong_2013_2_2-3_32;640;640;HR_building;537;195;557;213
Sejong_2013_2_2-3_32;640;640;HR_building;561;193;578;206
Sejong_2013_2_2-3_32;640;640;HR_building;538;217;557;230
Sejong_2013_2_2-3_32;640;640;HR_building;574;213;597;230
Sejong_2013_2_2-3_32;640;640;HR_building;538;234;568;246
Sejong_2013_2_2-3_32;640;640;HR_building;569;236;599;248
Sejong_2013_2_2-3_32;640;640;HR_building;512;250;540;272
Sejong_2013_2_2-3_32;640;640;HR_building;543;251;596;272
Sejong_2013_2_2-3_32;640;640;HR_building;617;1;640;15
Sejong_2013_2_2-3_32;640;640;HR_building;624;21;640;39
Sejong_2013_2_2-3_32;640;640;HR_building;627;124;640;139
Sejong_2013_2_2-3_32;640;640;HR_building;629;158;640;175
Sejong_2013_2_2-3_32;640;640;HR_building;620;183;640;199
Sejong_2013_2_2-3_32;640;640;HR_building;611;208;632;223
Sejong_2013_2_2-3_32;640;640;HR_building;630;231;640;243
Sejong_2013_2_2-3_32;640;640;HR_building;603;230;623;247
Sejong_2013_2_2-3_32;640;640;HR_building;551;309;575;319
Sejong_2013_2_2-3_32;640;640;HR_building;571;316;590;329
Sejong_2013_2_2-3_32;640;640;HR_building;590;316;614;326
Sejong_2013_2_2-3_32;640;640;HR_building;614;319;631;333
Sejong_2013_2_2-3_32;640;640;HR_building;549;331;573;343
Sejong_2013_2_2-3_32;640;640;HR_building;588;342;611;353
Sejong_2013_2_2-3_32;640;640;HR_building;609;343;630;357
Sejong_2013_2_2-3_32;640;640;HR_building;542;352;564;364
Sejong_2013_2_2-3_32;640;640;HR_building;564;354;583;368
Sejong_2013_2_2-3_32;640;640;HR_building;587;370;633;392
Sejong_2013_2_2-3_32;640;640;HR_building;577;403;625;426
Sejong_2013_2_2-3_32;640;640;HR_building;624;413;640;431
Sejong_2013_2_2-3_32;640;640;HR_building;538;432;559;448
Sejong_2013_2_2-3_32;640;640;HR_building;556;438;575;452
Sejong_2013_2_2-3_32;640;640;HR_building;583;444;602;456
Sejong_2013_2_2-3_32;640;640;HR_building;601;450;618;461
Sejong_2013_2_2-3_32;640;640;HR_building;616;454;635;466
Sejong_2013_2_2-3_32;640;640;HR_building;564;458;584;475
Sejong_2013_2_2-3_32;640;640;HR_building;585;491;605;507
Sejong_2013_2_2-3_32;640;640;HR_building;612;488;635;504
Sejong_2013_2_2-3_32;640;640;HR_building;603;521;640;538
Sejong_2013_2_2-3_32;640;640;HR_building;451;630;496;640
Sejong_2013_2_2-3_32;640;640;HR_building;422;628;445;640
Sejong_2013_2_2-3_32;640;640;HR_building;422;609;448;622
Sejong_2013_2_2-3_32;640;640;HR_building;449;610;498;624
Sejong_2013_2_2-3_32;640;640;HR_building;465;590;497;602
Sejong_2013_2_2-3_32;640;640;HR_building;418;579;434;594
Sejong_2013_2_2-3_32;640;640;HR_building;444;580;465;596
